shipment number,tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc,data_flag,hit_or_miss
71896096,N,B,0,100,Food Service,O,NTC,YFVO,B,Broadcast,40,C,SP-DC To 0017686900,US-CA-92571,US-CA-93307,DRY WEST,D,D,Apr,train,0
71896217,N,N,0,0,Retail,O,TC,QNRK,N,Non-Primary,41,C,SP-8R To 0060018591,CA-QC-J4B 1,CA-MB-R3P 0,CANADA,R,R,May,train,0
71897661,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-P8,MX-GT-36680,US-PA-17078,MEXICO,D,D,Apr,train,0
71897768,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-P9,MX-GT-36680,US-PA-17078,MEXICO,D,D,Apr,train,0
71897984,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-WL,MX-GT-36680,US-IL-60481,MEXICO,D,D,Apr,train,0
71898239,N,N,0,0,NULL,I,NTC,IRIO,N,Non-Primary,80,V,V-00510715 To SP-MR,US-IN-46219,US-OH-43314,DRY NORTHEAST,D,D,Apr,train,0
71898317,N,B,0,100,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-FE To 0060041894,US-IN-46809,US-IN-46143,DRY NORTHEAST,D,D,Apr,train,0
71898386,N,P,80,80,Intercomp/Interplnt,O,NTCB,QSJV,P,Primary,40,V,SP-7112 To SP-CR,US-MN-55421,US-IA-52404,DRY MIDWEST,D,D,Apr,train,0
71898389,N,P,80,80,Intercomp/Interplnt,O,NTCB,QSJV,P,Primary,40,V,SP-7112 To SP-CR,US-MN-55421,US-IA-52404,DRY MIDWEST,D,D,Apr,train,0
71898426,N,P,80,80,Intercomp/Interplnt,O,NTCB,QSJV,P,Primary,40,V,SP-7112 To SP-CR,US-MN-55421,US-IA-52404,DRY MIDWEST,D,D,Apr,train,0
71898470,N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-CC To SP-WL,US-IA-52233,US-IL-60481,DRY MIDWEST,D,D,Apr,train,0
71898523,N,P,25,60,Intercomp/Interplnt,O,NTC,HJIK,P,Primary,40,V,SP-H7 To SP-4S,US-MO-63401,US-KS-66021,DRY SOUTHEAST,D,D,Apr,train,0
71898617,N,B,0,100,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-B8 To SP-FE,US-MN-55418,US-IN-46809,DRY MIDWEST,D,D,Apr,train,0
71898931,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-UQ,US-GA-30014,US-CA-95215,DRY SOUTHEAST,D,D,Apr,train,0
71898959,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-P9,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71899014,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-P9,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71899025,N,B,0,0,Retail,O,TC,BHHL,B,Broadcast,40,C,SP-K8 To 0060048846,US-TN-37127,US-FL-32055,TEMP EAST,R,R,Apr,train,0
71899191,N,B,0,0,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-WL To 0060021819,US-IL-60481,US-IN-47396,DRY MIDWEST,D,D,Apr,train,0
71899528,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-FE,MX-GT-36680,US-IN-46809,MEXICO,D,D,Apr,train,0
71899596,N,B,0,100,Food Service,O,NTC,ZPEC,B,Broadcast,40,C,SP-GF To 0060020916,US-MT-59401,US-CO-80216,DRY WEST,D,D,Apr,train,0
71899656,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-P9,MX-GT-36680,US-PA-17078,MEXICO,D,D,Apr,train,0
71899657,Y,N,0,0,Retail,O,TC,TJIS,N,Non-Primary,40,C,SP-K8 To 0060071026,US-TN-37127,US-GA-30135,TEMP EAST,R,R,Apr,train,0
71899658,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-UQ,US-GA-30014,US-CA-95215,DRY SOUTHEAST,D,D,Apr,train,0
71899668,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-FE,US-GA-30014,US-IN-46809,DRY SOUTHEAST,D,D,Apr,train,0
71899684,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-X7,US-GA-30014,US-PA-17057,DRY SOUTHEAST,D,D,Apr,train,0
71900041,N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-Y4 To SP-FE,US-OH-44830,US-IN-46809,DRY NORTHEAST,D,D,Apr,train,0
71900043,N,B,0,0,Food Service,O,NTC,BHHL,B,Broadcast,40,C,SP-Y4 To 0060064166,US-OH-44830,US-IN-46953,DRY NORTHEAST,D,D,Apr,train,0
71900046,N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-Y4 To SP-AB,US-OH-44830,US-GA-30102,DRY NORTHEAST,D,D,Apr,train,0
71900047,N,B,0,0,NULL,I,NTC,BUXU,B,Broadcast,40,V,V-00502429 To SP-V4,US-AR-72401,US-TX-76010,DRY SOUTHEAST,D,D,Apr,train,0
71900167,N,B,0,100,Intercomp/Interplnt,O,TC,BHHL,B,Broadcast,40,V,SP-EB To SP-AI,US-NE-68310,US-TX-78744,TEMP WEST,PH,R,Apr,train,0
71900182,N,B,0,100,NULL,I,TC,BHHL,B,Broadcast,40,V,V-00510005 To SP-WS,US-MN-55920,US-OH-45692,TEMP EAST,R,R,Apr,train,0
71900228,N,B,0,100,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00513896 To SP-WS,US-NC-28273,US-OH-45692,DRY NORTHEAST,D,D,Apr,train,0
71900232,N,B,0,50,NULL,I,NTC,BUXU,B,Broadcast,40,V,V-00510975 To SP-CW,US-MI-49048,US-GA-30014,DRY SOUTHEAST,D,D,Apr,train,0
71900242,N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00141560 To SP-HN,US-MS-39145,US-MO-63401,DRY SOUTHEAST,D,D,Apr,train,0
71900273,N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,I,SP-CW To SP-LI,US-GA-30014,CA-AB-T2C 5,DRY SOUTHEAST,D,D,Apr,train,0
71900428,N,B,0,0,NULL,I,NTC,ROLF,B,Broadcast,40,V,V-00501396 To SP-7070,US-NM-88005,US-MO-63401,DRY SOUTHEAST,D,D,Apr,train,0
71900548,N,B,0,0,Intercomp/Interplnt,O,NTC,ZPEC,B,Broadcast,40,V,SP-SW To SP-P8,US-NY-14043,US-PA-17078,DRY NORTHEAST,D,D,Apr,train,0
71900629,N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-WW To SP-FE,US-IA-52404,US-IN-46809,DRY MIDWEST,D,D,Apr,train,0
71900663,N,B,0,12,Intercomp/Interplnt,O,NTC,ZPEC,B,Broadcast,40,V,SP-SW To SP-P9,US-NY-14043,US-PA-17078,DRY NORTHEAST,D,D,Apr,train,0
71900711,Y,N,0,0,Retail,O,NTC,KIPZ,N,Non-Primary,40,C,SP-ET To 0016538000,CA-ON-L6Y 5,CA-ON-L6T 5,CANADA,D,D,Apr,train,0
71900712,Y,N,0,0,Retail,O,NTC,KIPZ,N,Non-Primary,40,C,SP-ET To 0016538000,CA-ON-L6Y 5,CA-ON-L6T 5,CANADA,D,D,Apr,train,0
71900845,Y,N,0,0,NULL,I,NTC,GMDR,N,Non-Primary,40,V,V-00504401 To SP-AL,US-MN-56013,US-NM-87113,DRY WEST,D,D,Apr,train,0
71900878,N,B,0,0,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-JL To 0048000990,US-MO-64804,US-TX-76504,TEMP WEST,F,F,Apr,train,0
71901026,Y,N,0,0,Food Service,O,NTC,BUXU,N,Non-Primary,40,C,SP-GS To 0060058356,US-MO-64056,US-CA-92618,DRY WEST,D,D,Apr,train,0
71901029,Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00514555 To SP-MR,US-IA-51012,US-OH-43314,DRY NORTHEAST,D,D,Apr,train,0
71901030,Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00264188 To SP-CR,US-NC-27105,US-IA-52404,DRY MIDWEST,D,D,Apr,train,0
71901031,Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00514555 To SP-CF,US-IA-51012,US-IL-61006,DRY MIDWEST,D,D,Apr,train,0
71901069,N,B,0,50,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,I,SP-B6 To SP-CI,US-MO-64804,US-OH-45241,DRY SOUTHEAST,D,D,Apr,train,0
71901117,Y,N,0,0,Intercomp/Interplnt,O,TC,UAFL,N,Non-Primary,41,I,SP-3D To SP-JF,US-MO-64601,US-MN-55427,TEMP WEST,F,F,Apr,train,0
71901144,N,B,0,25,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-WW To SP-RO,US-IA-52404,US-TX-76262,DRY MIDWEST,D,D,Apr,train,0
71901167,N,B,0,0,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-FE To 0014077600,US-IN-46809,US-OH-44720,DRY NORTHEAST,D,D,Apr,train,0
71901185,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-HY To SP-7003,US-OH-45858,US-MI-49512,DRY NORTHEAST,D,D,Apr,train,0
71901199,N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,I,SP-B6 To SP-CI,US-MO-64804,US-OH-45241,DRY SOUTHEAST,D,D,Apr,train,0
71901218,N,B,0,100,Retail,O,NTC,MMQA,B,Broadcast,40,C,SP-ET To 0016538000,CA-ON-L6Y 5,CA-ON-L6T 5,CANADA,D,D,Apr,train,0
71901233,Y,N,0,0,Intercomp/Interplnt,O,NTC,BHHL,N,Non-Primary,40,I,SP-CA To SP-WS,US-IL-60446,US-OH-45692,DRY MIDWEST,D,D,Apr,train,0
71901234,Y,N,0,0,Food Service,O,NTC,BHHL,N,Non-Primary,40,C,SP-AB To 0022162500,US-GA-30102,US-TN-37601,DRY SOUTHEAST,D,D,Apr,train,0
71901235,Y,N,0,0,Food Service,O,NTC,BHHL,N,Non-Primary,40,C,SP-AV To 0060025810,US-IA-50047,US-TN-37087,DRY MIDWEST,D,D,Apr,train,0
71901236,Y,N,0,0,Retail,O,NTC,BHHL,N,Non-Primary,40,C,SP-SG To 0060069196,US-GA-30025,US-SC-29303,DRY SOUTHEAST,D,D,Apr,train,0
71901237,Y,N,0,0,Intercomp/Interplnt,O,NTC,BHHL,N,Non-Primary,40,V,SP-VD To SP-GB,US-IL-60490,US-IL-61401,DRY MIDWEST,D,D,Apr,train,0
71901238,Y,N,0,0,Intercomp/Interplnt,O,NTC,BHHL,N,Non-Primary,40,I,SP-R7 To SP-XU,US-IA-52404,US-IL-60007,DRY MIDWEST,D,D,Apr,train,0
71901245,N,B,0,100,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-CW To SP-RW,US-GA-30014,US-MN-55044,DRY SOUTHEAST,D,D,Apr,train,0
71901302,N,B,0,100,Food Service,O,NTC,BUXU,B,Broadcast,40,C,SP-FE To 0020893100,US-IN-46809,US-MN-56304,DRY NORTHEAST,D,D,Apr,train,0
71901312,N,B,0,0,Food Service,O,NTC,PTVF,B,Broadcast,40,C,SP-AV To 0060027962,US-IA-50047,US-IL-60446,DRY MIDWEST,D,D,Apr,train,0
71901330,Y,N,0,0,Retail,O,NTC,AENM,N,Non-Primary,40,C,SP-FE To 0009182000,US-IN-46809,US-IN-46219,DRY NORTHEAST,D,D,Apr,train,0
71901333,N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-Y4 To SP-CM,US-OH-44830,US-MN-55317,DRY NORTHEAST,D,D,Apr,train,0
71901418,N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00513863 To SP-7022,US-AR-72908,US-TN-37127,DRY SOUTHEAST,D,D,Apr,train,0
71901445,Y,N,0,0,NULL,I,NTC,FWUK,N,Non-Primary,40,V,V-00513326 To SP-CN,US-VA-24084,US-CA-90746,DRY WEST,D,D,Apr,train,0
71901567,N,B,0,0,Retail,O,TC,BHHL,B,Broadcast,40,C,SP-GE To 0060032758,US-IL-60134,US-OH-43952,TEMP WEST,F,F,Apr,train,0
71901579,Y,N,0,0,NULL,I,NTC,RLOS,N,Non-Primary,40,V,V-00511037 To SP-7070,US-IL-60638,US-MO-63401,DRY SOUTHEAST,D,D,Apr,train,0
71901588,Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00513326 To SP-CN,US-VA-24084,US-CA-90746,DRY WEST,D,D,Apr,train,0
71901630,N,B,0,57,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,I,SP-B6 To SP-CE,US-MO-64804,US-GA-30014,DRY SOUTHEAST,D,D,Apr,train,0
71901727,N,B,0,0,NULL,I,NTC,ZPEC,B,Broadcast,40,V,V-00509232 To SP-CM,US-TN-38106,US-MN-55317,DRY MIDWEST,D,D,Apr,train,0
71901735,Y,N,0,0,Intercomp/Interplnt,O,NTC,YQCC,N,Non-Primary,40,V,SP-H7 To SP-SG,US-MO-63401,US-GA-30025,DRY SOUTHEAST,D,D,Apr,train,0
71901736,Y,N,0,0,Intercomp/Interplnt,O,NTC,YQCC,N,Non-Primary,40,V,SP-H7 To SP-V4,US-MO-63401,US-TX-76010,DRY SOUTHEAST,D,D,Apr,train,0
71901737,Y,N,0,0,Intercomp/Interplnt,O,NTC,YQCC,N,Non-Primary,40,V,SP-H7 To SP-SG,US-MO-63401,US-GA-30025,DRY SOUTHEAST,D,D,Apr,train,0
71901738,Y,N,0,0,Intercomp/Interplnt,O,NTC,YQCC,N,Non-Primary,40,V,SP-H7 To SP-SG,US-MO-63401,US-GA-30025,DRY SOUTHEAST,D,D,Apr,train,0
71901829,Y,N,0,0,Export,O,TC,OBEX,N,Non-Primary,40,C,0060063093 To SP-GE,US-TX-78045,US-IL-60134,TEMP WEST,F,F,Apr,train,0
71901906,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,I,SP-B8 To SP-39,US-MN-55418,US-MO-63401,DRY MIDWEST,D,D,Apr,train,0
71901907,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-WW To SP-P8,US-IA-52404,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71901908,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-XU To SP-LL,US-IL-60007,US-WI-53221,DRY MIDWEST,D,D,Apr,train,0
71901909,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,I,SP-7X To SP-CC,US-IA-50208,US-IA-52233,DRY MIDWEST,D,D,Apr,train,0
71901910,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-H7 To SP-SG,US-MO-63401,US-GA-30025,DRY SOUTHEAST,D,D,Apr,train,0
71901911,Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-AV To 0060020917,US-IA-50047,US-TX-76265,DRY MIDWEST,D,D,Apr,train,0
71901912,Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-GB To 0012836200,US-IL-61401,US-NE-68138,DRY MIDWEST,D,D,Apr,train,0
71901913,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-7257 To SP-H7,US-KY-40210,US-MO-63401,DRY SOUTHEAST,D,D,Apr,train,0
71901914,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-SW To SP-AB,US-NY-14043,US-GA-30102,DRY NORTHEAST,D,D,Apr,train,0
71901915,Y,N,0,0,Military,O,NTC,NUXY,N,Non-Primary,40,C,SP-WL To 0060055576,US-IL-60481,US-IN-47404,DRY MIDWEST,D,D,Apr,train,0
71901916,Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-WW To SP-FE,US-IA-52404,US-IN-46809,DRY MIDWEST,D,D,Apr,train,0
71901936,Y,N,0,0,Military,O,NTC,ZPEC,N,Non-Primary,40,C,SP-DC To 0010266100,US-CA-92571,US-WA-98499,DRY WEST,D,D,Apr,train,0
71902090,N,B,0,100,Intercomp/Interplnt,O,NTC,BPNK,B,Broadcast,60,I,SP-MM To SP-CW,US-IL-60538,US-GA-30014,DRY MIDWEST,D,D,Apr,train,0
71902246,Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-7004 To SP-WL,US-MI-49505,US-IL-60481,DRY NORTHEAST,D,D,Apr,train,0
71902293,Y,N,0,0,Retail,O,TC,QXWP,N,Non-Primary,40,C,SP-DH To 0060062397,US-CA-90746,US-CA-95380,TEMP WEST,F,F,Apr,train,0
71902327,N,N,0,15,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-KC To SP-FE,US-MO-64120,US-IN-46809,DRY WEST,D,D,Apr,train,0
71902329,N,B,0,0,Intercomp/Interplnt,O,NTC,HJIK,B,Broadcast,40,V,SP-KC To SP-FE,US-MO-64120,US-IN-46809,DRY WEST,D,D,Apr,train,0
71902331,N,N,0,15,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-KC To SP-FE,US-MO-64120,US-IN-46809,DRY WEST,D,D,Apr,train,0
71902399,N,N,0,15,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-KC To SP-FE,US-MO-64120,US-IN-46809,DRY WEST,D,D,Apr,train,0
71902406,Y,N,0,0,Food Service,O,NTC,AENM,N,Non-Primary,40,C,SP-FE To 0060066210,US-IN-46809,US-IN-47802,DRY NORTHEAST,D,D,Apr,train,0
71902407,Y,N,0,0,Retail,O,NTC,AENM,N,Non-Primary,40,C,SP-FE To 0060034710,US-IN-46809,US-MI-48193,DRY NORTHEAST,D,D,Apr,train,0
71902433,Y,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-KC To SP-RO,US-MO-64120,US-TX-76262,DRY WEST,D,D,Apr,train,0
